"Base License Number","Base Name","DBA","Year","Month","Month Name","Total Dispatched Trips","Total Dispatched Shared Trips","Unique Dispatched Vehicles"
"B02715","GROUNDANYWHERE LLC",,"2017","2","February","12,741","0","509"
"B02229","NEW FAT INC.","TRIPP","2024","10","October","5,575","0","52"
"B00350","CHAMPION CAR & LIMO SVC. INC.",,"2018","6","June","3,873","0","20"
"B02331","CHICO EXPRESS LIMO, INC.",,"2020","8","August","6,898","0","44"
"B00639","ROCAPULCO CAR SERVICE INC.",,"2018","11","November","2,934","0","8"
"B01087","ELITE LIMO PLUS INC",,"2023","11","November","9,665","0","278"
"B01455","REPUBLICA CAR & LIMO SERVICE CORP.",,"2019","10","October","4,347","0","36"
"B02207","EASTERN LUXURY, INC.",,"2016","12","December","394","0","94"
"B01726","SUPER CLASS RADIO DISP INC",,"2017","12","December","15,938","0","91"
"UBER","UBER","UBER","2019","2","February","13,503,042","2,945,777","77,712"
